Id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Air_Pressure_Min,Air_Pressure_Max,Coolant_Temp,Coolant_Temp_Min,Coolant_Temp_Max,Coolant_Pressure,Factory_Temp,Factory_Temp_Min,Factory_Temp_Max,Factory_Humidity,Factory_Humidity_Min,Factory_Humidity_Max,Short_Shot_1,Bubble_1,Exfoliation_1,Blow_Hole_1,Stain_1,Dent_1,Deformation_1,Contamination_1,Impurity_1,Crack_1,Scratch_1,Buring_Mark_1,Inclusions_1,Short_Shot_2,Bubble_2,Exfoliation_2,Blow_Hole_2,Stain_2,Dent_2,Deformation_2,Contamination_2,Impurity_2,Crack_2,Scratch_2,Buring_Mark_2,Inclusions_2,Vel_1_2_Diff,Vel_2_3_Diff,Vel_Total_Range,Any_Defect
4238042,2,42,0.154,0.164,0.206,2.733,264,0.012,17,359,36.6,0.042,594,12.7,2.0,2.5,666.5,5.4,3,9,26.1,10,50,2.69,33.4,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0.04199999999999998,2.579,0
4239043,2,43,0.156,0.166,0.192,2.726,264,0.012,17,348,36.6,0.042,594,12.7,2.0,2.5,666.1,5.4,3,9,26.2,10,50,2.71,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0.025999999999999995,2.57,0
4240044,2,44,0.16,0.162,0.205,2.72,264,0.01,16,350,36.5,0.042,595,12.7,2.0,2.5,665.5,5.5,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000000000000018,0.04299999999999998,2.56,0
4241045,2,45,0.157,0.16,0.206,2.73,265,0.011,17,352,36.6,0.042,596,12.7,2.0,2.5,665.5,5.5,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030000000000000027,0.045999999999999985,2.573,0
4242046,2,46,0.157,0.16,0.206,2.73,265,0.011,17,352,36.6,0.042,596,12.7,2.0,2.5,664.8,5.6,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030000000000000027,0.045999999999999985,2.573,0
4243047,2,47,0.152,0.172,0.206,2.73,264,0.011,16,361,36.5,0.042,594,12.7,2.0,2.5,664.8,5.6,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01999999999999999,0.034,2.578,0
4244048,2,48,0.158,0.172,0.208,2.711,264,0.012,17,363,36.6,0.04,595,12.7,2.0,2.5,664.4,5.7,3,9,26.2,10,50,2.71,33.3,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013999999999999985,0.036000000000000004,2.553,0
4245049,2,49,0.155,0.165,0.21,2.73,264,0.012,17,355,36.7,0.041,595,12.7,2.0,2.5,664.2,5.8,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0.044999999999999984,2.575,0
4246050,2,50,0.155,0.165,0.21,2.73,264,0.012,17,355,36.7,0.041,595,12.7,2.0,2.5,664.2,5.8,3,9,26.2,10,50,2.68,33.3,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0.044999999999999984,2.575,0
4247051,2,51,0.162,0.166,0.208,2.744,264,0.012,16,355,36.7,0.041,594,12.7,2.0,2.5,663.9,5.8,3,9,26.2,10,50,2.69,33.4,18.0,22.0,55.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000000000000036,0.04199999999999998,2.5820000000000003,0
4248052,2,52,0.15,0.164,0.206,2.702,264,0.012,15,355,36.7,0.04,595,12.7,2.0,2.5,664.2,5.9,3,9,26.2,10,50,2.7,33.5,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014000000000000012,0.04199999999999998,2.552,0
4249053,2,53,0.156,0.164,0.195,2.696,264,0.012,16,355,37.0,0.041,594,13.0,2.5,2.7,664.2,5.9,3,9,26.2,10,50,2.7,33.5,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008000000000000007,0.031,2.54,0
4250054,2,54,0.158,0.168,0.202,2.723,264,0.011,14,355,37.1,0.04,594,13.0,2.5,2.7,664.3,6.0,3,9,26.2,10,50,2.69,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0.034,2.565,0
4251055,2,55,0.158,0.162,0.202,2.71,264,0.011,14,355,37.0,0.04,595,13.0,2.5,2.7,664.3,6.0,3,9,26.2,10,50,2.69,33.7,18.0,22.0,55.6,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000000000000036,0.04000000000000001,2.552,1
