id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Biscuit_Thickness,Rapid_Rise_Time,Pressure_Rise_Time,Clamping_Force,Cycle_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Diff_ratio,clamp_per_press,temp_diff,press_time_ratio,spray_cycle_ratio,heat_index,Defect_Status,Defect_Type
6839295,2,295,0.148,0.17,0.204,2.539,264,17,0.012,0.035,381,36.1,595,12.1,2.0,2.0,650.5,6.8,27.3,2.62,31.8,69.2,2.253787878787879,0.6403361344537815,618.7,2.916666666666667,0.335180055401662,22.0056,0,Normal
6841296,2,296,0.154,0.174,0.204,2.524,265,19,0.011,0.035,381,36.1,596,12.2,2.0,2.0,650.4,7.1,27.3,2.62,31.9,69.1,2.249056603773585,0.639261744966443,618.5,3.181818181818182,0.3379501385041551,22.042899999999996,1,Short_Shot
6843297,2,297,0.158,0.172,0.204,2.515,264,19,0.012,0.036,381,36.2,595,12.2,2.0,2.0,649.8,7.0,27.3,2.64,31.9,68.9,2.253787878787879,0.6403361344537815,617.9,2.9999999999999996,0.33701657458563533,21.979100000000003,0,Normal
6845298,2,298,0.16,0.17,0.196,2.513,265,18,0.012,0.034,381,36.1,595,12.1,2.0,2.0,649.8,7.0,27.3,2.64,31.9,68.9,2.2452830188679247,0.6403361344537815,617.9,2.8333333333333335,0.335180055401662,21.979100000000003,1,Short_Shot
6847299,2,299,0.154,0.174,0.208,2.524,265,19,0.012,0.035,379,36.0,595,12.1,2.0,2.0,649.5,6.8,27.3,2.62,32.0,69.0,2.2452830188679247,0.6369747899159663,617.5,2.916666666666667,0.3361111111111111,22.08,0,Normal
6849300,2,300,0.154,0.174,0.208,2.524,265,19,0.012,0.035,379,36.0,595,12.1,2.0,2.0,649.5,6.8,27.3,2.62,32.0,69.0,2.2452830188679247,0.6369747899159663,617.5,2.916666666666667,0.3361111111111111,22.08,0,Normal
6851301,2,301,0.16,0.17,0.2,2.516,265,18,0.011,0.041,381,36.1,596,12.1,2.0,2.0,649.1,7.1,27.3,2.64,32.0,69.1,2.249056603773585,0.639261744966443,617.1,3.7272727272727275,0.335180055401662,22.112,1,Short_Shot
6853302,2,302,0.158,0.17,0.202,2.515,265,19,0.012,0.036,381,36.1,596,12.1,2.0,2.0,649.0,7.0,27.3,2.63,32.0,69.0,2.249056603773585,0.639261744966443,617.0,2.9999999999999996,0.335180055401662,22.08,1,Blow_Hole
6855303,2,303,0.158,0.166,0.204,2.516,265,19,0.012,0.036,381,36.0,595,12.1,2.0,2.0,649.0,7.0,27.3,2.63,32.0,69.0,2.2452830188679247,0.6403361344537815,617.0,2.9999999999999996,0.3361111111111111,22.08,0,Normal
6857304,2,304,0.15,0.164,0.203,2.511,265,18,0.009,0.033,381,36.1,595,12.1,2.0,2.0,648.8,7.0,27.3,2.63,32.0,68.8,2.2452830188679247,0.6403361344537815,616.8,3.666666666666667,0.335180055401662,22.016,0,Normal
6859305,2,305,0.147,0.166,0.202,2.497,265,21,0.009,0.033,381,36.1,595,12.1,2.0,2.0,648.8,7.0,27.3,2.63,32.0,68.8,2.2452830188679247,0.6403361344537815,616.8,3.666666666666667,0.335180055401662,22.016,0,Normal
6861306,2,306,0.16,0.168,0.202,2.508,265,20,0.01,0.034,381,36.0,596,12.1,2.0,2.0,647.7,6.9,27.3,2.65,32.0,68.7,2.249056603773585,0.639261744966443,615.7,3.4000000000000004,0.3361111111111111,21.984,1,Short_Shot
6863307,2,307,0.158,0.17,0.2,2.511,265,19,0.01,0.034,379,36.0,596,12.1,2.0,2.0,646.0,7.0,27.3,2.63,32.0,68.4,2.249056603773585,0.6359060402684564,614.0,3.4000000000000004,0.3361111111111111,21.888,0,Normal
6865308,2,308,0.15,0.166,0.208,2.475,265,19,0.012,0.035,381,36.0,596,12.2,2.0,2.0,646.0,7.0,27.3,2.63,32.0,68.4,2.249056603773585,0.639261744966443,614.0,2.916666666666667,0.33888888888888885,21.888,0,Normal
6867309,2,309,0.152,0.172,0.204,2.479,265,20,0.012,0.036,379,36.0,596,12.1,2.0,2.0,645.8,7.0,27.3,2.62,32.2,68.0,2.249056603773585,0.6359060402684564,613.5999999999999,2.9999999999999996,0.3361111111111111,21.896000000000004,0,Normal
6869310,2,310,0.152,0.172,0.204,2.479,265,20,0.012,0.036,379,36.0,596,12.1,2.0,2.0,645.8,7.0,27.3,2.62,32.2,68.0,2.249056603773585,0.6359060402684564,613.5999999999999,2.9999999999999996,0.3361111111111111,21.896000000000004,1,Short_Shot
6871311,2,311,0.156,0.171,0.202,2.518,265,19,0.012,0.036,379,36.0,596,12.1,2.0,2.0,646.6,6.9,27.3,2.63,32.4,67.6,2.249056603773585,0.6359060402684564,614.2,2.9999999999999996,0.3361111111111111,21.902399999999997,0,Normal
6873312,2,312,0.144,0.164,0.198,2.524,265,18,0.012,0.036,381,36.1,595,12.1,2.0,2.0,647.9,7.0,27.3,2.63,32.6,67.1,2.2452830188679247,0.6403361344537815,615.3,2.9999999999999996,0.335180055401662,21.8746,1,Short_Shot
6875313,2,313,0.158,0.172,0.208,2.526,264,18,0.011,0.035,381,36.1,595,12.1,2.0,2.0,647.9,7.0,27.3,2.63,32.6,67.1,2.253787878787879,0.6403361344537815,615.3,3.181818181818182,0.335180055401662,21.8746,0,Normal
6877314,2,314,0.14,0.17,0.21,2.496,265,20,0.011,0.036,381,36.1,595,12.1,2.0,2.0,648.9,6.9,27.3,2.62,32.7,66.6,2.2452830188679247,0.6403361344537815,616.1999999999999,3.2727272727272725,0.335180055401662,21.778200000000002,0,Normal
6879315,2,315,0.158,0.166,0.202,2.525,265,19,0.012,0.034,379,36.1,595,12.1,2.0,2.0,650.4,7.1,27.3,2.62,32.8,66.2,2.2452830188679247,0.6369747899159663,617.6,2.8333333333333335,0.335180055401662,21.7136,1,Blow_Hole
6881316,2,316,0.15,0.172,0.204,2.518,265,19,0.012,0.034,381,36.1,596,12.1,2.0,2.0,650.4,7.1,27.3,2.62,32.8,66.2,2.249056603773585,0.639261744966443,617.6,2.8333333333333335,0.335180055401662,21.7136,0,Normal
6883317,2,317,0.16,0.166,0.202,2.517,265,19,0.012,0.036,381,36.1,595,12.1,2.0,2.0,651.3,6.8,27.4,2.63,32.9,65.8,2.2452830188679247,0.6403361344537815,618.4,2.9999999999999996,0.335180055401662,21.648199999999996,0,Normal
6885318,2,318,0.152,0.172,0.196,2.505,265,18,0.012,0.033,381,36.1,595,12.1,2.0,2.0,651.3,6.8,27.4,2.63,32.9,65.8,2.2452830188679247,0.6403361344537815,618.4,2.75,0.335180055401662,21.648199999999996,0,Normal
6887319,2,319,0.148,0.166,0.203,2.516,265,19,0.012,0.036,379,36.1,596,12.1,2.0,2.0,652.3,6.9,27.4,2.62,32.9,65.6,2.249056603773585,0.6359060402684564,619.4,2.9999999999999996,0.335180055401662,21.582399999999996,0,Normal
6889320,2,320,0.148,0.173,0.208,2.526,265,18,0.012,0.036,379,36.1,596,12.1,2.0,2.0,653.4,6.9,27.4,2.61,32.9,65.4,2.249056603773585,0.6359060402684564,620.5,2.9999999999999996,0.335180055401662,21.516600000000004,0,Normal
6891321,2,321,0.154,0.164,0.202,2.497,265,19,0.012,0.036,381,36.0,595,12.1,2.0,2.0,653.4,6.9,27.4,2.61,32.9,65.4,2.2452830188679247,0.6403361344537815,620.5,2.9999999999999996,0.3361111111111111,21.516600000000004,0,Normal
6893322,2,322,0.154,0.164,0.202,2.524,265,18,0.011,0.034,379,36.1,596,12.1,2.0,2.0,654.2,7.0,27.4,2.62,32.9,65.3,2.249056603773585,0.6359060402684564,621.3000000000001,3.0909090909090913,0.335180055401662,21.4837,0,Normal
6895323,2,323,0.154,0.168,0.208,2.514,265,18,0.012,0.033,379,36.1,596,12.1,2.0,2.0,654.2,7.0,27.4,2.62,32.9,65.3,2.249056603773585,0.6359060402684564,621.3000000000001,2.75,0.335180055401662,21.4837,0,Normal
